Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Nature],[Reporting Type],[Sex],[Type of occupation],[Units]
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","206.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","MALE","isco08-5","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","200.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","BOTHSEX","isco08-5","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","161.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","BOTHSEX","isco08-6","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","166.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","FEMALE","isco08-7","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","333.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","BOTHSEX","isco08-4","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","399.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","BOTHSEX","isco08-2","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","568.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","BOTHSEX","isco08-1","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","204.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","BOTHSEX","isco08-7","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","211.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","BOTHSEX","isco08-8","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","562.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","MALE","isco08-1","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","184.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","FEMALE","isco08-9","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","193.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","MALE","isco08-9","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","282.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","376.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","FEMALE","isco08-2","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","233.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","MALE","isco08-7","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","8","Albania","2018","244.0","2018","","","","","ES - Structure of Earnings Survey","","Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: ALB - Lek(ALL)","","C","G","MALE","isco08-8","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2000","4.0","2000","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2000","4.0","2000","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2000","4.0","2000","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2001","4.0","2001","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2001","4.0","2001","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2001","3.9","2001","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2002","3.9","2002","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2002","4.1","2002","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2002","3.6","2002","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2003","4.4","2003","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS) | Break in series: Sample redesigned","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2003","4.5","2003","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS) | Break in series: Sample redesigned","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2003","4.6","2003","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS) | Break in series: Sample redesigned","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2004","4.7","2004","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2004","4.8","2004","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2004","4.8","2004","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2005","5.9","2005","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2005","5.8","2005","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2005","5.8","2005","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2006","7.3","2006","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2006","7.5","2006","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2006","6.9","2006","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2007","8.8","2007","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2007","9.0","2007","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2007","8.4","2007","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2008","11.1","2008","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2008","11.2","2008","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2008","10.9","2008","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2009","13.2","2009","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2009","13.1","2009","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2009","13.0","2009","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2010","16.6","2010","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2010","16.6","2010","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2010","16.5","2010","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2011","21.5","2011","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2011","21.5","2011","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2011","21.5","2011","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2012","26.5","2012","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2012","26.3","2012","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2012","26.8","2012","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2013","34.3","2013","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2013","34.5","2013","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2013","34.0","2013","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2014","44.8","2014","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","BOTHSEX","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2014","44.2","2014","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","MALE","isco08","CUR_LCU"
"8","8.5","8.5.1","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","32","Argentina","2014","45.8","2014","","","","","LFS - Annual Survey of Urban Households","","Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: ARG - Argentine peso(ARS)","","C","G","FEMALE","isco08","CUR_LCU"
